play_id,game_id,defteam,game_date,home_team,play_type,game_half,qtr,penalty_team,penalty_player_id,penalty_yards,penalty_type
393,2009091000,PIT,2009-09-10,PIT,run,Half1,1,PIT,00-0022119,15,Unnecessary Roughness
646,2009091000,PIT,2009-09-10,PIT,no_play,Half1,1,TEN,00-0023548,5,Illegal Formation
1110,2009091000,TEN,2009-09-10,PIT,run,Half1,2,PIT,00-0017162,10,Offensive Holding
1142,2009091000,TEN,2009-09-10,PIT,no_play,Half1,2,PIT,00-0022785,10,Offensive Holding
1527,2009091000,PIT,2009-09-10,PIT,pass,Half1,2,PIT,00-0022119,15,NA
2120,2009091000,TEN,2009-09-10,PIT,no_play,Half1,2,PIT,00-0026901,5,Illegal Formation
2850,2009091000,PIT,2009-09-10,PIT,no_play,Half2,3,TEN,00-0023548,5,Illegal Formation
3319,2009091000,TEN,2009-09-10,PIT,no_play,Half2,4,TEN,00-0020382,5,Encroachment
3504,2009091000,TEN,2009-09-10,PIT,no_play,Half2,4,PIT,00-0022924,5,Delay of Game
3881,2009091000,PIT,2009-09-10,PIT,no_play,Half2,4,TEN,00-0023548,3,False Start
370,2009091304,MIN,2009-09-13,CLE,pass,Half1,1,CLE,00-0023438,10,Illegal Block Above the Waist
1176,2009091304,MIN,2009-09-13,CLE,no_play,Half1,2,MIN,00-0024263,28,Defensive Pass Interference
1512,2009091304,MIN,2009-09-13,CLE,no_play,Half1,2,CLE,00-0023438,5,False Start
2031,2009091304,CLE,2009-09-13,CLE,no_play,Half2,3,MIN,00-0005106,5,Delay of Game
2121,2009091304,CLE,2009-09-13,CLE,no_play,Half2,3,CLE,00-0025527,16,Defensive Pass Interference
2758,2009091304,MIN,2009-09-13,CLE,no_play,Half2,4,MIN,00-0022073,5,Encroachment
2848,2009091304,MIN,2009-09-13,CLE,no_play,Half2,4,CLE,00-0027130,5,False Start
3074,2009091304,MIN,2009-09-13,CLE,no_play,Half2,4,CLE,00-0025390,5,False Start
3320,2009091304,MIN,2009-09-13,CLE,no_play,Half2,4,CLE,00-0019666,5,False Start
3885,2009091304,MIN,2009-09-13,CLE,no_play,Half2,4,CLE,0,10,Offensive Holding
659,2009091307,DET,2009-09-13,NO,no_play,Half1,1,NO,00-0022078,5,False Start
1159,2009091307,DET,2009-09-13,NO,no_play,Half1,2,DET,0,5,Defensive Offside
1579,2009091307,DET,2009-09-13,NO,pass,Half1,2,DET,00-0027009,15,Unsportsmanlike Conduct
2156,2009091307,NO,2009-09-13,NO,no_play,Half1,2,DET,00-0020444,5,False Start
2179,2009091307,NO,2009-09-13,NO,no_play,Half1,2,DET,0,15,Unsportsmanlike Conduct
2239,2009091307,DET,2009-09-13,NO,no_play,Half1,2,DET,00-0026356,15,Roughing the Passer
2544,2009091307,NO,2009-09-13,NO,no_play,Half2,3,NO,00-0014724,1,NA
2826,2009091307,DET,2009-09-13,NO,no_play,Half2,3,NO,00-0021267,5,False Start
3003,2009091307,NO,2009-09-13,NO,no_play,Half2,3,DET,00-0023583,5,False Start
3603,2009091307,DET,2009-09-13,NO,run,Half2,4,DET,00-0024224,5,Personal Foul
3659,2009091307,DET,2009-09-13,NO,no_play,Half2,4,NO,00-0026304,10,Offensive Holding
4014,2009091307,NO,2009-09-13,NO,no_play,Half2,4,DET,00-0020445,15,Personal Foul
